比赛项目,报名开启时间,报名渠道,创建人,分项规模,官网,完赛经历要求,体检报告,奖牌,官方邮箱,联系电话,运营单位,出签日期,省份,赛事等级,退出机制,报名截止时间,比赛路线,抽签,起点,状态,主办单位,比赛日期,报名费,缴费时间,总规模,最后编辑人,微信公众号,赛事
半程 / 短距离,2025-08-08 10:00,官网/微信/小程序 / 数字心动 / 第一赛道,,6000/4000,https://zaozhuang.gusto.cn,半程或以上,可用完赛证书,,zaozhuangmls@sport-china.cn,,广州朗朗体育文化有限公司,,山东,A,,2025-09-30 10:00,,❌,,取消,枣庄市人民政府,,120/80,报名时缴费,10000,,第一赛道、2025枣庄马拉松,枣庄半程马拉松
半程 / 短距离,2025-01-13 10:00,官网/微信/小程序,,10000/6000,,,,,zjgbcmls@163.com,0512-58689909,江苏省体育竞赛有限公司 / 张家港市体育文化有限公司,2025-03-07 15:34,江苏,A,,2025-02-28 17:00,https://docimg4.docs.qq.com/image/AgAACG-qqCEDJUvnFWpLOaXhNRe0eCf7.jpeg?w=1280&h=1810,✔️,世纪广场,取消,张家港市人民政府,,150/100,报名时缴费,16000,,五彩沙洲,张家港半程马拉松
半程 / 中距离 / 短距离,2025-01-24 10:00,官网/微信/小程序 / 润赛美佳 / 马拉松报名网 / 马拉马拉 / 最酷 / 第一赛道 / 跑跑网(马拉松报名),,5000/3000/8000,,,自行评估,,nnwomanmarathon@163.com,07773819766,广西盈动体育有限公司,,广西,B,有,2025-02-24 23:59,,❌,南宁博物馆,取消,南宁市体育局 / 南宁市良庆区人民政府 / 广西社会体育运动发展中心 / 南宁市妇女联合会,,160/100/60,报名时缴费,16000,,南宁女子半程马拉松,南宁女子半程马拉松
半程 / 短距离,2024-11-12 10:00,官网/微信/小程序 / 数字心动 / 马拉马拉,,15000/5000,,未提及,未提及,,,13535360830,广州博润体育科技有限公司,,广东,B,因个人原因放弃比赛的，2024年12月15日及之前可以全额退还报名费,2024-12-06 22:00,,❌,增城广场,已结束,广州市增城区人民政府,2025-01-01 09:30,188/68,报名时缴费,20000,,粤港澳大湾区女子半程马拉松、博润体育,粤港澳大湾区女子半程马拉松
全程 / 半程 / 短距离,2025-03-13 10:00,官网/微信/小程序,,3000/7000/5000,,马拉松项目需半程以上完赛经历 / 10km及以上,自行评估,,rockysports@163.com,17305356641,烟台落基体育有限公司,2025-06-05 00:00,山东,B,,2025-06-01 23:59,,✔️,招远市体育公园-北门,取消,烟台市体育局 / 招远市人民政府,,179/149/79,报名时缴费,15000,,落基体育RockySports,招远黄金马拉松
全程 / 半程 / 短距离,2025-09-24 10:00,官网/微信/小程序 / 数字心动 / 马拉马拉 / 润赛美佳 / 最酷 / 跑跑网(马拉松报名),,5000/8000/7000,https://www.dezhoumarathon.com,未提及,自行评估,,dezhou-marathon@163.com,17862601988,北京中锐体育产业有限公司,,山东,A,,2025-10-07 17:00,,✔️,德州市体育公园,取消,山东省体育局 / 德州市人民政府,,180/150/70,报名时缴费,20000,,德州马拉松,德州马拉松
半程 / 短距离,2025-09-10 10:00,官网/微信/小程序,,,,,,,,,陕西康奥文化体育发展有限公司,2025-09-21 00:00,陕西,A,,2025-09-17 19:00,,✔️,,取消,咸阳市体育局 / 中共泾阳县委 / 泾阳县人民政府,,,,10000,,,泾阳郑国渠半程马拉松赛
全程 / 半程 / 短距离,2025-09-09 10:00,,,3000/4000/5000,,,,,,,,,安徽,A / 标牌,,2025-10-09 23:59,,❌,,取消,安徽省体育局 / 亳州市人民政府,,,,12000,,,亳州马拉松
半程 / 短距离,2025-07-07 15:00,官网/微信/小程序,,12000/6000,,未提及,自行评估,,linfenbanma@163.com,4008014600,山西隆景体育有限公司,2025-08-22 00:00,山西,A,,2025-08-15 17:00,,✔️,九州公园-九州广场,取消,临汾市人民政府,,150/100,报名时缴费,18000,,隆景体育,临汾半程马拉松
全程 / 半程 / 短距离,2025-08-13 10:00,官网/微信/小程序,,2000/4000/4000,,未提及,自行评估,,,13393411261,华舰体育赛事发展（山西）有限公司,2025-09-05 00:00,山西,B,,2025-08-31 23:59,https://docimg1.docs.qq.com/image/AgAACG-qqCHpFrE8BQ9AOJHEQVQ4_ZMv.jpeg?w=1280&h=1756,✔️,滨湖大道,取消,长治市人民政府,,150/120/80,报名时缴费,10000,,华舰赛事,长治马拉松
