官网,总规模,省份,微信公众号,起点,开赛日期,奖牌,报名开启时间,联系电话,报名费,官方邮箱,主办单位,分项规模,赛事等级,比赛项目,比赛路线,运营单位,抽签,出签日期,状态,报名截止时间,赛事名称
,,香港,,,2024-02-04 14:01,,,,,,,,AIMS,,,,,,,,China Coast Marathon and Half Marathon
,10000,浙江,,,2024-03-17 15:19,,,,,,杭州市临平区人民政府,,A2,半程 / 短距离,,杭州市临平区文化和广电旅游体育局文化和体育科,,,已结束,,临平半程马拉松
,10000,河南,,,2024-03-24 15:19,,,,,,滑县人民政府,,A1,全程 / 半程 / 短距离,,北京双奥体育文化产业集团有限公司,,,已结束,,滑县马拉松
,8000,广东,,,2024-01-01 13:59,,,,,,云浮市人民政府,,A类,半程 / 短距离,,,,,已结束,,云浮半程马拉松赛
,13000,广东,,,2024-01-21 13:59,,,,,,湛江市人民政府,,A类,半程 / 短距离,,,,,已结束,,湛江半程马拉松赛
,35000,四川,,,2024-03-24 15:19,,,,,,成都市人民政府,,A1,全程 / 半程 / 短距离,,成都双遗体育产业发展有限公司,,,已结束,,成都双遗马拉松
,10000,重庆,,,2024-03-17 15:19,,,,,,重庆市铜梁区人民政府,,A2,全程 / 半程 / 短距离,,重庆从云行风体育发展有限公司,,,已结束,,重庆铜梁马拉松
,,香港,,,2024-01-21 13:54,,,,,,,,HKAAA / 金标 / AIMS,全程 / 半程 / 10km,,,,,已结束,,香港马拉松
,30000,福建,,,2024-01-07 13:59,,,,,,厦门市人民政府,,A1 / 白金 / AIMS,全程,,厦门文广体育有限公司,,,已结束,,厦门马拉松
,30000,广西,,,2024-03-17 15:19,,,,,,桂林市人民政府 / 广西壮族自治区体育局,,A1 / 标牌,全程 / 半程 / 短距离,,广东新中体育集团有限公司,,,已结束,,桂林马拉松
,20000,广东,,,2024-03-17 15:19,,,,,,清远市人民政府,,A1,全程 / 半程 / 短距离,,广东新中体育集团有限公司,,,已结束,,清远马拉松赛
,5000,上海,,,2024-01-01 13:59,,,,,,上海市嘉定区体育局 / 上海久事体育产业发展（集团）有限公司 / 上海报业集团新闻报社,,B类,半程 / 短距离,,上海报业集团新闻报社,,,已结束,,蒸蒸日上迎新跑
,16000,四川,,,2024-02-25 14:45,,,,,,仁寿县人民政府,,A1 / 金标 / AIMS,半程 / 短距离,,四川博捷体育文化传播有限公司,,,已结束,,眉山仁寿半程马拉松
,,广西,,,2024-01-21 13:59,,,,,,,,A类,,,,,,取消/推迟/熔断,,“奥跑中国”大众路跑全国系列赛 广西南宁站
,10000,浙江,,,2024-03-17 15:19,,,,,,宁海县人民政府,,A1,全程 / 半程 / 短距离,,,,,已结束,,宁海马拉松
,,上海,,,2024-03-17 15:19,,,,,,,,A1,,,,,,已结束,,上海静安半程马拉松
,20000,贵州,,,2024-03-03 15:18,,,,,,贵州省体育局 / 黔西南州人民政府,,A1,全程 / 半程 / 短距离,,四川博捷体育文化传播有限公司,,,已结束,,万峰林马拉松
,10000,江苏,,,2024-03-10 15:19,,,,,,无锡太湖国家旅游度假区管委会,,A1,半程 / 中距离 / 短距离,,江苏苏奥体育科技有限公司,,,已结束,,无锡太湖女子半程马拉松
,5000,江西,,,2024-03-17 15:19,,,,,,南昌高新技术开发区管委会 / 南昌市体育局,,B类,半程 / 短距离,,江西汗青体育发展有限公司,,,已结束,,南昌鄱阳湖半程马拉松
