分项规模,报名费,创建人,创建时间,官网,状态,省份,赛事等级,主办单位,报名开启时间,官方邮箱,奖牌,微信公众号,联系电话,开赛日期,最后编辑人,比赛项目,抽签,出签日期,运营单位,总规模,起点,最后编辑时间,赛事名称,比赛路线,报名截止时间
5000/5000,120/50,,,,已结束,河南,B类,河南省田径协会 / 汤阴县人民政府,2024-08-16 10:00,,,汤阴马拉松,,2024-10-20 00:00,,半程 / 短距离,❌,,河南世纪中原体育文化有限公司,10000,乾坤大道与文王路交叉口,,汤阴半程马拉松赛,,2024-09-30 10:00
9000/6000,,,,,已结束,贵州,B类,贵州省体育局 / 遵义市人民政府,2024-09-02 08:00,,,,,2024-10-20 13:21,,半程 / 短距离,❌,,济南路跑文化传播有限公司,15000,,,遵义新蒲半程马拉松,,2024-09-30 08:00
1000/1500/3000,120/80/60,,,https://www.badongmarathon.com,已结束,湖北,A1,湖北省体育局 / 恩施土家族苗族自治州人民政府,2024-07-26 13:14,badongmarathon@126.com,https://docimg6.docs.qq.com/image/AgAACG-qqCGpvd-H7EJMfphfcTVWGseT.jpeg?w=1080&h=773,巴东马拉松,13477839825,2024-08-25 17:59,,半程 / 中距离 / 短距离,❌,,路越（上海）体育发展有限公司,5500,巴东县野三关镇人民政府,,巴东野三关半程马拉松,https://docimg8.docs.qq.com/image/AgAACG-qqCGFC3xS9j9LaIzBj_CARfuU.jpeg?w=1019&h=1528,2024-08-10 17:20
10000/2000,120/60,,,,已结束,山西,B类,临汾市人民政府,2024-07-19 10:00,linfenbanma@163.com,https://docimg7.docs.qq.com/image/AgAACG-qqCHj-ZvAN2pPjom98nDSwtbO.png?w=1080&h=913,隆景体育,4008014600,2024-10-13 00:00,,半程 / 短距离,❌,,山西隆景体育有限公司,12000,九州公园-九州广场,,临汾半程马拉松,,2024-09-01 17:00
2000/5000/3000,150/100/50,,,https://www.world550.com,已结束,吉林,B类,前郭尔罗斯蒙古族自治县人民政府 / 吉林前郭查干湖旅游经济开发区管委会,2024-07-08 10:00,550huiyuanbu@china550.org,,550体育,17821357388,2024-09-22 10:06,,全程 / 半程 / 短距离,❌,,戈友文化传媒（上海）有限公司,10000,查干湖景区,,查干湖环湖马拉松,,2024-07-11 11:30
2000/3000/5000,,,,,已结束,山东,A1,枣庄市人民政府,2024-08-15 10:00,,,2024枣庄马拉松,,2024-10-20 09:30,,全程 / 半程 / 短距离,❌,,路越（上海）体育发展有限公司,10000,,,枣庄马拉松,,2024-09-30 18:00
10000/4000,150/60,,,https://web.irunner.mobi/frontend/index.html#/template1/home/665ecea02482c,已结束,浙江,B类,桐庐县人民政府,2024-06-06 10:00,tonglumls123@163.com,,午马体育,18058756033,2024-10-27 13:30,,半程 / 短距离,❌,,浙江午马精英体育发展有限公司,14000,桐庐中心广场,,桐庐半程马拉松,,2024-09-06 12:00
2000/500/2500,150/100/60,,,,已结束,西藏,A1,拉萨市人民政府,2024-06-24 12:00,,"https://docimg9.docs.qq.com/image/AgAACG-qqCGh0KoX7M9GWI_jRNlIySU1.png?w=1080&h=620, https://docimg10.docs.qq.com/image/AgAACG-qqCH8UPgd9AFJQqWApDffKIC2.png?w=1077&h=617, https://docimg1.docs.qq.com/image/AgAACG-qqCGLYXg3QJxBhbtdJDv2PUYo.png?w=1077&h=617, https://docimg1.docs.qq.com/image/AgAACG-qqCGx_AHm_rJE_ZtjxVmaBtB-.png?w=1710&h=1155",拉萨市体育局、中体大健康,18089012125,2024-08-17 16:20,,半程 / 10km / 短距离,❌,,成都中体大健康体育文化传播有限公司,5000,西藏自治区会展中心,,拉萨半程马拉松,https://docimg1.docs.qq.com/image/AgAACG-qqCFEYSsvXnZFIYEU4FL0ukz0.jpeg?w=2237&h=1280,2024-07-05 14:30
3500/4500,120/60,,,,已结束,江苏,A1,兴化市人民政府,2024-08-08 10:00,xinghuamarathon@126.com,,江苏兴化马拉松,18952641336,2024-10-27 13:46,,半程 / 短距离,❌,,江苏飞睿体育文化发展有限公司,8000,荡南路与长安北路交叉口,,兴化半程马拉松,,2024-09-30 23:59
2000/3000/5000,150/120/50,,,https://www.panjinmarathon.cn,已结束,辽宁,A1,辽宁省体育局 / 盘锦市人民政府,2024-08-10 10:00,panjinmls@126.com,,盘锦红马,18642752101,2024-09-22 10:04,,全程 / 半程 / 短距离,✔️,2024-09-02 10:18,,10000,卧龙湖码头,,盘锦红海滩马拉松,,2024-08-25 18:00
1000/1500/500,160/120/100,,,,已结束,河北,A1,康保县人民政府 / 怀来县人民政府,2024-07-16 10:00,info@chinazazs.com,https://docimg1.docs.qq.com/image/AgAACG-qqCG1UtZO6l1KOq6eMXHWzuIC.jpeg?w=1280&h=947,奥盈体育,13071117160,2024-08-25 17:59,,全程 / 半程 / 短距离,❌,,中奥智胜（北京）体育发展有限公司,3000,文化广场,,康保马拉松,https://docimg1.docs.qq.com/image/AgAACG-qqCGJhJJOSA5AA6lk1yKWqNvh.png?w=1080&h=840,2024-08-06 23:59
3500,HK350/200(青老年05-08，60+）,,,https://hkaaa.com/tc/comp_details.php?id=245,已结束,香港,HKAAA,中国香港田径总会,2024-06-25 14:00,events@hkaaa.com,,,,2024-09-29 14:10,,10km,❌,,,3500,天影路,,香港十公里錦標賽,,2024-08-30 23:59
5000/10000/5000,150/120/60,,,https://www.tangshan-marathon.com,已结束,河北,A1,河北省体育局 / 唐山市人民政府,2024-08-01 10:00,tangshanmarathon@126.com,,唐山马拉松,0315-2177100,2024-10-27 13:29,,全程 / 半程 / 短距离,✔️,2024-08-30 16:07,唐山瑞跑体育文化传播有限公司,20000,唐山抗震纪念碑广场,,唐山马拉松,,2024-08-20 10:00
7000/15000/8000,180/150/80,,,http://www.changchunmarathon.com,已结束,吉林,A1,长春市人民政府 / 吉林省体育局,2024-07-05 10:00,ccmarathon@126.com,"https://docimg10.docs.qq.com/image/AgAACG-qqCEhsfWclZFKFqEJXR3W4mGO.jpeg?w=1080&h=629, https://docimg8.docs.qq.com/image/AgAACG-qqCGHk4sZEXpHSZusZqjThiBX.jpeg?w=1080&h=629",长春马拉松,0431-88655081,2024-09-01 16:38,,全程 / 半程 / 短距离,✔️,2024-07-26 16:53,厦门文广体育有限公司,30000,长春体育中心,,长春马拉松赛,https://docimg5.docs.qq.com/image/AgAACG-qqCFMcah5CzxNpKnfoLiMUytG.jpeg?w=2000&h=1383,2024-07-21 18:00
2000/4000/4000,150/100/0,,,http://jssh.xempower.cn/,已结束,江苏,B类,泗洪县人民政府,2024-08-05 10:00,sh-marathon@xempower.com.cn,,"泗洪马拉松,爱泗洪",13057620234,2024-10-27 13:10,,全程 / 半程 / 短距离,✔️,2024-09-23 09:57,南京魔盒信息科技有限公司,10000,泗洪城南公园,,泗洪马拉松,https://docimg9.docs.qq.com/image/AgAACG-qqCHc69Bae0BBfI-jxdtQghb5.jpeg?w=820&h=1280,2024-09-02 18:00
3000/3000/4000,120/100/80,,,https://www.huajiansaishi.com,已结束,山西,B类,长治市人民政府,2024-07-03 10:00,,,华舰赛事,0351-6933111,2024-09-08 17:11,,全程 / 半程 / 短距离,❌,,华舰体育赛事发展（山西）有限公司,10000,漳泽湖国家城市湿地公园,,长治环漳泽湖马拉松赛,,2024-07-31 17:00
1000/1500/1000,150/120/80,,,https://ts.xcmsports.com,已结束,新疆,B类,吉木萨尔县人民政府,2024-07-10 10:30,tianshanmarathon@163.com,"https://docimg2.docs.qq.com/image/AgAACG-qqCFuyd5X_mJFkrjRe1bLAoTF.webp?w=1080&h=849, https://docimg5.docs.qq.com/image/AgAACG-qqCGICfRM0o1BFom7BpV2Wk3y.webp?w=1080&h=849, https://docimg10.docs.qq.com/image/AgAACG-qqCH8zWlr69JE46QswA8EFwqP.webp?w=1080&h=848",吉木萨尔天山马拉松,0994-6955888,2024-08-25 23:32,,全程 / 半程 / 短距离,❌,,,4000,北庭园,,吉木萨尔天山马拉松,https://docimg3.docs.qq.com/image/AgAACG-qqCHUGj843O5GEbciFV-bk-mR.jpeg?w=1280&h=1810,2024-08-03 18:00
4500/5500,130/60,,,https://suizhou.sport-china.cn/,已结束,湖北,A1,湖北省体育局 / 随州市人民政府,2024-07-26 14:00,suizhou@gustomail.cn,,第一赛道、随州半程马拉松,,2024-10-06 15:48,,半程 / 短距离,✔️,2024-09-06 15:51,广东新中体育集团有限公司,10000,湖北随州博物馆,,随州半程马拉松赛,,2024-08-31 18:00
2000/5000/3000,120/100/80,,,https://www.klmymls.com,已结束,新疆,B类,克拉玛依市人民政府,2024-07-24 10:00,2658719366@qq.com,,克拉玛依马拉松,18152907626,2024-09-16 15:06,,全程 / 半程 / 短距离,❌,,河南世纪中原体育文化有限公司,10000,克拉玛依市体育馆,,克拉玛依马拉松赛,,2024-08-20 18:00
10000/12000/8000,200/150/100,,,https://hrb-marathon.chinaath.com,已结束,黑龙江,A1 / 精英 / AIMS,黑龙江省体育局 / 哈尔滨市人民政府,2024-07-04 10:00,hrbmlsbm@163.com,https://docimg6.docs.qq.com/image/AgAACG-qqCHxt9vjUy9IC5aQQ7ffvXqL.jpeg?w=1080&h=718,哈尔滨国际马拉松,0451-51021454,2024-08-25 00:00,,全程 / 半程 / 短距离,✔️,2024-07-20 00:00,哈尔滨城投体育发展有限公司,30000,音乐长廊,,哈尔滨马拉松,https://docimg7.docs.qq.com/image/AgAACG-qqCH3W3bLjYZHV6eiXbeWXZGx.png?w=1080&h=1620,2024-07-10 23:59
12000/13000/5000,200/180/80,,,"https://www.marathonchangsha.com",已结束,湖南,A1 / 金标 / AIMS,湖南省体育局 / 长沙市人民政府,2024-07-23 15:00,csmarathon@126.com,https://docimg1.docs.qq.com/image/AgAACG-qqCHcq084YBRIsoibErIYPNlK.jpeg?w=1280&h=719,长沙马拉松,0731-85860310,2024-10-20 23:19,,全程 / 半程 / 短距离,✔️,2024-08-20 10:06,长沙体育产业经营有限公司,30000,,,长沙马拉松,,2024-07-28 17:00
3000/2000,120/50,,,https://ylhmls.xempower.cn,已结束,新疆,A1,伊宁市人民政府,2024-07-16 10:00,ylh-marathon@xempower.com.cn,,伊犁河马拉松,18551797805,2024-09-16 15:11,,半程 / 短距离,✔️,2024-08-09 15:11,南京善跑体育科技有限公司,5000,七彩广场,,伊犁河半程马拉松,,2024-08-04 18:00
3000/8000/1000,120/60/30,,,https://www.sfmls.saihuitong.com,已结束,云南,A1,云南省体育局 / 昭通市人民政府,2024-07-20 18:00,429718308@qq.com,,水富教体之窗、金江水马,0870-8638218,2024-09-28 14:56,,半程 / 中距离 / 短距离,✔️,2024-09-07 10:36,云南行知探索体育文旅产业有限公司,12000,北大门公园,,水富半程马拉松赛,,2024-08-31 23:59
5000/7000,100/30,,,,已结束,山东,B类,滨州市人民政府,2024-08-06 14:00,gxinwenti@163.com,,山东国信文体,15726189652,2024-10-13 09:34,,半程 / 短距离,❌,,山东国信文体科技股份有限公司,12000,黄河三角洲农产品交易服务中心,,滨州半程马拉松,,2024-09-15 17:00
,,,,,已结束,北京,B类,北京市公安局工会,,,,,,2024-10-18 00:00,,全程 / 半程 / 中距离 / 短距离,,,,2500,温榆河公园,,北京警察马拉松,,
4000/4000,120/50,,,,已结束,湖北,B类,宜都市人民政府,2024-08-15 15:00,yidumarathon@163.com,,宜都半程马拉松,13260675696,2024-10-20 10:36,,半程 / 短距离,❌,,武汉锋尙体育发展有限公司 / 深圳博润体育文化有限公司,8000,宜都市体育场,,宜都半程马拉松,,2024-09-15 23:59
12000/18000,180/150,,,https://www.dlmls.org/,已结束,辽宁,A1 / AIMS,辽宁省体育局 / 大连市人民政府,2024-08-23 10:00,,,大连马拉松赛,,2024-10-20 13:16,,全程 / 半程,✔️,2024-09-06 15:58,华润文化体育发展有限公司 / 大连体育产业集团有限公司,30000,港浦路与珠荷街交叉口,,大连马拉松赛,,2024-08-30 15:00
4000/2000/2000,150/100/80,,,https://hirunsport.cn,已结束,浙江,B类,杭州市临安区人民政府,2024-08-20 10:00,hirunkefu@163.com,,嗨跑体育,18248484836,2024-10-20 13:15,,半程 / 中距离 / 短距离,✔️,2024-09-03 09:41,杭州嗨跑体育管理有限公司 / 杭州文化广播电视集团,8000,临安人民广场,,杭州临安半程马拉松,,2024-08-30 18:00
2000/5000/6000,150/120/60,,,http://nxhhjamarathon.spoorts.cn/,已结束,宁夏,A1,宁夏回族自治区体育局 / 吴忠市人民政府,2024-07-04 20:00,,,宁夏黄河金岸吴忠马拉松,0593-2128953,2024-09-08 15:16,,全程 / 半程 / 短距离,❌,,北京中迹体育管理有限公司,13000,盛元广场,,宁夏黄河金岸（吴忠）马拉松,,2024-07-05 16:00
3000/6000/6000,160/160/80,,,https://yulin42195.com,已结束,陕西,A1,陕西省体育局 / 榆林市人民政府,2024-06-19 10:00,kefu@ihuipao.com,,汇跑赛事、榆林马拉松,400-99-42195,2024-09-16 16:41,,全程 / 半程 / 短距离,✔️,2024-07-25 14:55,无锡汇跑体育有限公司,15000,世纪广场,,榆林马拉松,,2024-07-19 17:00
