官方邮箱,起点,运营单位,抽签,最后编辑人,状态,分项规模,赛事,最后编辑时间,创建人,完赛经历要求,报名费,体检报告,联系电话,省份,赛事等级,创建时间,报名渠道,比赛路线,主办单位,奖牌,官网,比赛日期,缴费时间,退出机制,比赛项目,出签日期,总规模,微信公众号,报名开启时间,报名截止时间
rockysports@163.com,招远市体育公园-北门,烟台落基体育有限公司,✔️,,取消,3000/7000/5000,招远黄金马拉松,,,马拉松项目需半程以上完赛经历 / 10km及以上,179/149/79,自行评估,17305356641,山东,B,,官网/微信/小程序,,烟台市体育局 / 招远市人民政府,,,,报名时缴费,,全程 / 半程 / 短距离,2025-06-05 00:00,15000,落基体育RockySports,2025-03-13 10:00,2025-06-01 23:59
RockySports@163.com,威·至海港湾,烟台落基体育有限公司 / 威海落基体育有限公司,❌,,取消,3000/10000/5000,威海马拉松,,,半程或以上,179/149/79,自行评估,18053505451,山东,B,,官网/微信/小程序,https://docimg5.docs.qq.com/image/AgAACG-qqCHcDhaIC7xGO7SZf8dY2IgP.jpeg?w=1280&h=1699,,,,,报名时缴费,,全程 / 半程 / 短距离,,18000,落基体育RockySports,2025-04-30 10:00,2025-10-10 12:00
haimenmarathon@163.com,黄浦江路与太仓路交叉口,,✔️,,取消,2000/5000/3000,海门马拉松,,,未提及,150/120/80,自行评估,19905197127,江苏,A,,官网/微信/小程序 / 高德地图 / 数字心动,,,,http://haimenmarathon.umaysports.cn/,,报名时缴费,,全程 / 半程 / 短距离,2025-10-10 00:00,10000,海门马拉松、有迈路跑,2025-08-25 10:00,2025-09-30 18:00
,,,,,待确定,10000/5000/5000,苏州太湖马拉松,,,,,,,江苏,精英,,,,,,,,,,,,20000,,,
zaozhuangmls@sport-china.cn,,广州朗朗体育文化有限公司,❌,,取消,6000/4000,枣庄半程马拉松,,,半程或以上,120/80,可用完赛证书,,山东,A,,官网/微信/小程序 / 数字心动 / 第一赛道,,枣庄市人民政府,,https://zaozhuang.gusto.cn,,报名时缴费,,半程 / 短距离,,10000,第一赛道、2025枣庄马拉松,2025-08-08 10:00,2025-09-30 10:00
service@sportsnet.org.tw,总统府第二局第五科图书馆,,❌,,已结束,4730/9270/8000/3000,臺北公益馬拉松,,,未提及,NT$1500/1300/850/650,未提及,(886)02-2585-5659,台湾,AIMS,,官网/微信/小程序,,"""中華民國路跑協會""",,http://scbmarathon2024.com/index.php,2025-01-12 15:38,报名时缴费,"報名後-2024年11月8日 17:00	退款比例80%	申請即受理；
2024年11月8日 17:01-2024年12月30日 17:00 退款比例60%	申請即受理；
2024年12月30日 17:01-2025年1月13日 17:00 退款比例50%	僅限下列情況並檢附證明者得以申請1. 天然或人為災害2. 交通中斷3. 兵役或點閱、教育召集4. 傷病或妊娠5. 配偶或參與者一親等內親屬喪葬",全程 / 半程 / 中距离 / 短距离,,25000,,2024-08-20 16:00,2024-10-31 16:00
,,,,,待确定,,中国田径协会10公里精英赛 昌江站,,,,,,,海南,A,,官网/微信/小程序,,,,,,,,,,,,,
,柳叶湖游客广场,湖南御峰体育文化集团有限公司,❌,,取消,4000/8000/8000,常德柳叶湖马拉松,,,未提及,150/120/80,自行评估,13548958510,湖南,A / 标牌,,官网/微信/小程序 / 数字心动,,湖南省体育局 / 常德市人民政府,,,,报名时缴费,,全程 / 半程 / 短距离,,20000,2025常德柳叶湖马拉松,2025-09-29 10:00,2025-10-16 09:00
tamls2025@163.com,,青岛青马爱跑体育文化有限公司,✔️,,取消,3000/13500/8500,泰安马拉松,,,马拉松项目需半程以上完赛经历 / 10km及以上,150/150/80,未提及,15689901187,山东,A,,官网/微信/小程序,,山东省体育局 / 泰安市人民政府,,https://www.tamls.cn,,报名时缴费,报名时间内，所有报名者可申请取消报名并退款。,全程 / 半程 / 短距离,2025-09-26 00:00,25000,2025泰安马拉松、青马文体 ,2025-09-02 15:00,2025-09-20 17:00
ysnzmarathon@163.com,,,❌,,取消,1500/1200/2500,铅山女子半程马拉松,,,未提及,100/60/30,必须,19065808508,江西,B,,官网/微信/小程序 / 数字心动,,铅山县人民政府,,,,报名时缴费,,半程 / 10km / 短距离,,5200,铅山女子马拉松,2025-08-23 10:00,2025-09-21 10:00
gxinwenti@163.com,黄河三角洲农产品交易服务中心,山东国信文体科技股份有限公司,❌,,取消,7000/5000,滨州半程马拉松,,,未提及,100/30,自行评估,13021703779,山东,B,,官网/微信/小程序 / 数字心动 / 润赛美佳 / 马拉马拉,https://docimg8.docs.qq.com/image/AgAACG-qqCGKtp9-1nNLe66TyqEJs47f.png?w=1080&h=1949,滨州市人民政府,,,,报名时缴费,,半程 / 短距离,,12000,滨州半程马拉松、山东国信文体,2025-07-02 18:00,2025-09-15 18:00
bojiesports@126.com,普洱大剧院,四川博捷体育文化传播有限公司,❌,,已结束,4000/8000/8000,普洱思茅马拉松,,,半程或以上,150/120/60,必须,13529388388,云南,A,,数字心动,,云南省体育局 / 普洱市人民政府,,https://www.sichuanbojiesports.com,2025-01-12 14:33,报名时缴费,无,全程 / 半程 / 短距离,,20000,博捷体育、普洱思茅马拉松,2024-10-31 10:00,2024-12-15 22:00
houjietw@126.com,厚街·名家居世博园,深圳市五环体育产业发展有限公司 / 东莞市厚街文化传媒有限公司,,,待确定,4500/3500,厚街半程马拉松,,,未提及,130/60,未提及,0769-85581066,广东,A,,官网/微信/小程序,https://docimg4.docs.qq.com/image/AgAACG-qqCEJe3SC10ZHvbqBCe3sZ0jB.png?w=1080&h=1203,东莞市厚街镇人民政府,,http://www.hjmarathon.com,,报名时缴费,无,半程 / 短距离,,8000,厚街半程马拉松,,
zjgbcmls@163.com,世纪广场,江苏省体育竞赛有限公司 / 张家港市体育文化有限公司,✔️,,取消,10000/6000,张家港半程马拉松,,,,150/100,,0512-58689909,江苏,A,,官网/微信/小程序,https://docimg4.docs.qq.com/image/AgAACG-qqCEDJUvnFWpLOaXhNRe0eCf7.jpeg?w=1280&h=1810,张家港市人民政府,,,,报名时缴费,,半程 / 短距离,2025-03-07 15:34,16000,五彩沙洲,2025-01-13 10:00,2025-02-28 17:00
tongren@gustomail.cn,,,✔️,,取消,5000/8000/3000/4000,贵州铜仁·梵净山马拉松,,,半程或以上,180/150/88/60,自行评估,,贵州,A,,官网/微信/小程序 / 数字心动,,,,,,报名时缴费,,全程 / 半程 / 10km / 短距离,2025-10-20 00:00,20000,梵净山马拉松,2025-09-01 10:00,2025-10-15 17:00
stjsoc@163.com,徐州市体育中心(湖北路店),江苏省体育竞赛有限公司,✔️,,取消,7000/5000/13000,徐州马拉松,,,未提及,180/160/80,自行评估,18151697518,江苏,A,,官网/微信/小程序 / 数字心动,,徐州市人民政府,,,,中签后缴费,,全程 / 半程 / 短距离,2025-09-19 00:00,25000,徐州马拉松,2025-08-22 10:00,2025-09-12 17:00
,,,,,待确定,,龙门半程马拉松赛,,,,,,,广东,,,,,,,,,,,,,,,,
chengxueliang@wzcqsports.cn,,王者传奇（北京）体育文化有限公司,❌,,取消,2000/1000,中国田径协会10公里精英赛（晋中站）,,,未提及,80/50,自行评估,13311560282,山西,A / WA,,官网/微信/小程序 / 数字心动 / 马拉马拉 / 润赛美佳 / 最酷,,中国田径协会 / 晋中市人民政府,,,,报名时缴费,,10km / 短距离,,3000,中国10公里精英赛,2025-09-11 10:00,2025-10-03 17:00
,,,✔️,,取消,5000/10000/5000,株洲马拉松,,,,150/120/60,,,湖南,A,,官网/微信/小程序,,湖南省体育局 / 株洲市人民政府,,,,,,全程 / 半程 / 短距离,,20000,,2025-09-24 10:00,2025-10-30 17:00
15662748418@163.com,,山东文旅传媒集团有限公司,❌,,取消,2000/3000/5000,菏泽东明马拉松,,,未提及,100/80/50,自行评估,15662748418,山东,A,,官网/微信/小程序 / 数字心动 / 马拉马拉 / 最酷,,东明县人民政府,,,,报名时缴费,,全程 / 半程 / 短距离,,10000,速豹体育,2025-08-25 10:00,2025-09-15 17:00
,,,,,待确定,,康保马拉松,,,,,,,河北,,,官网/微信/小程序,,,,,,,,,,,,,
,,海南今燊体育文化发展有限公司,,,待确定,,广元半程马拉松,,,,,,,四川,A,,官网/微信/小程序,,广元市人民政府 / 四川省田径协会,,,,,,,,10000,,,
,,陕西康奥文化体育发展有限公司,✔️,,取消,,泾阳郑国渠半程马拉松赛,,,,,,,陕西,A,,官网/微信/小程序,,咸阳市体育局 / 中共泾阳县委 / 泾阳县人民政府,,,,,,半程 / 短距离,2025-09-21 00:00,10000,,2025-09-10 10:00,2025-09-17 19:00
hengyangmarathon@163.com,衡阳市体育中心体育场,湖南大众体育文化发展有限公司,❌,,取消,6000/10000/6000,衡阳马拉松,,,未提及,169/149/89,自行评估,0731-88092991,湖南,A,,官网/微信/小程序 / 数字心动 / 马拉马拉,,湖南省体育局 / 衡阳市人民政府,,,,报名时缴费,报名截止前可退改,全程 / 半程 / 短距离,,26000,衡阳马拉松,2025-09-19 10:00,2025-09-23 10:00
,,青岛平头体育有限公司,✔️,,取消,1500/6500/2000,龙口马拉松,,,,180/150/80,,,山东,A,,官网/微信/小程序,,烟台市体育局 / 龙口市人民政府,,,,,,全程 / 半程 / 短距离,2025-09-16 00:00,10000,,2025-08-13 10:00,2025-09-05 17:00
chinacoastmarathon@gmail.com,大网仔路,,❌,,已结束,400/600,中國沿岸馬拉松/中國沿岸半馬拉松,,,未提及,HK$580/580,未提及,,香港,AIMS,,官网/微信/小程序,,香港元老田徑會,,https://avohk.org/index.php/china-coast/,2025-01-12 15:18,报名时缴费,无,全程 / 半程,,1000,,2024-11-13 07:00,2024-12-15 23:59
nnwomanmarathon@163.com,南宁博物馆,广西盈动体育有限公司,❌,,取消,5000/3000/8000,南宁女子半程马拉松,,,,160/100/60,自行评估,07773819766,广西,B,,官网/微信/小程序 / 润赛美佳 / 马拉松报名网 / 马拉马拉 / 最酷 / 第一赛道 / 跑跑网(马拉松报名),,南宁市体育局 / 南宁市良庆区人民政府 / 广西社会体育运动发展中心 / 南宁市妇女联合会,,,,报名时缴费,有,半程 / 中距离 / 短距离,,16000,南宁女子半程马拉松,2025-01-24 10:00,2025-02-24 23:59
service@sportsnet.org.tw,金门县服务中心,,❌,,已结束,2000/3300/3500/7000,金門馬拉松,,,未提及,NT$1000/900/800/200,未提及,,福建,AIMS,,官网/微信/小程序,"https://docimg7.docs.qq.com/image/AgAACG-qqCEXF85-0KtPPZTkrGxQsFgb.png?w=6966&h=5008, https://docimg6.docs.qq.com/image/AgAACG-qqCGJbHy5w51AxKxK3aCXMWhm.png?w=6966&h=5008",金門縣政府,,https://www.sportsnet.org.tw/20250119_web/,2025-01-19 15:20,报名时缴费,已完成報名繳費者，如因故要取消報名，請於2024年10月30日(三)17:00前於本會上班時間（週一至週五，上午08:30至12:00；下午13:30至17:30） 提出申請，並於10月30日(三)17:00前提交退費申請書。退回金額為原繳總金額80%。如逾時申請則無論任何理由將不再受理退費事宜。,全程 / 半程 / 10km / 短距离,,15800,,2024-06-28 15:00,2024-10-25 17:00
jtmsmls@163.com,,,✔️,,取消,3000/2000/5000,金坛茅山半程马拉松,,,未提及,150/90/60,自行评估,,江苏,A,,官网/微信/小程序 / 数字心动,,常州市金坛区人民政府 / 常州市体育局,,https://www.jtmsmls.com,,报名时缴费,无,半程 / 中距离 / 短距离,,10000,金坛茅山半程马拉松、有迈路跑,2025-03-02 16:00,2025-03-23 16:00
irunner@biji.co,,,❌,,已结束,?/3000/3000/?,台南國際馬拉松,,,未提及,NT$1400/1200/1000/800,未提及,(886)0910-581659,台湾,AIMS,,官网/微信/小程序 / 運動筆記,https://docimg7.docs.qq.com/image/AgAACG-qqCFrPuSz3zdLLJU3o7l_4BlZ.png?w=1000&h=707,台灣國際馬拉松交流協會 / 亞洲馬拉松大聯盟,,https://irunner.biji.co/twnmarathon2025,2025-01-05 15:40,报名时缴费,无,全程 / 半程 / 10km / 短距离,,,,2024-07-15 14:00,2024-10-22 23:59
,,,,,待确定,2000/5000/3000,慈溪马拉松,,,,,,,浙江,A,,官网/微信/小程序,,浙江省马拉松及路跑协会 / 慈溪市人民政府,,,,,,全程 / 半程 / 短距离,,10000,,,
