报名渠道,主办单位,报名开启时间,状态,赛事等级,完赛经历要求,出签日期,分项规模,起点,比赛路线,抽签,退出机制,联系电话,赛事,创建时间,官网,总规模,报名费,省份,最后编辑时间,报名截止时间,运营单位,官方邮箱,比赛项目,比赛日期,缴费时间,体检报告,微信公众号,奖牌
官网/微信/小程序 / 運動筆記,高雄市政府運動發展局,2025-09-01 12:00,已结束,AIMS,未提及,,3500/6500,高雄国家体育场,,❌,有,(886)0972896489,高雄馬拉松,,https://www.khm.com.tw,10000,"NT$1,500/1300",台湾,,2025-10-11 23:59,H2U運動筆記,bijikhmservice@gmail.com,全程 / 半程,2026-01-11 00:00,报名时缴费,未提及,,
数字心动 / 马拉马拉,中国田径协会 / 北京市门头沟区人民政府,2026-02-02 10:00,已结束,A / WA,未提及,2026-03-06 00:00,4000/1000,石龙路与金沙街交叉口,,✔️,,18511081160,中国田径协会10公里精英赛（北京门头沟站）,,,5000,100/150(家庭组),北京,,2026-02-09 18:00,,pbbj@baa.org.cn,10km / 短距离,2026-03-28 00:00,报名时缴费,自行评估,北京市田径协会、跑遍北京,
官网/微信/小程序 / 数字心动,温州市体育局 / 乐清市人民政府,2026-01-15 10:00,已结束,A,半程或以上,2026-01-30 00:00,8000,乐清市体育中心,https://docimg6.docs.qq.com/image/AgAACG-qqCEhiaDsmCBExp_n6qMNZOzX.png?w=1011&h=838,✔️,1月22日（含）之前退出退还80%报名费，组委会将在收到退出申请后一周内办理退款，1月22日之后不可退出。,18248484836,乐清半程马拉松,,https://hirunsport.com,8000,120,浙江,,2026-01-22 18:00,杭州嗨跑体育管理有限公司,hirunkefu@163.com,半程,2026-03-22 00:00,报名时缴费,可用完赛证书,乐清半程马拉松,
官网/微信/小程序 / 数字心动,宁海县人民政府,2025-12-22 10:00,已结束,A,半程或以上,2026-01-19 00:00,4000/8000,,,✔️,无,15757485361,宁海马拉松,,,12000,180/150,浙江,,2026-01-12 17:00,南京极致体育发展有限公司,nhxxk_marathon@163.com,全程 / 半程,2026-03-08 11:23,中签后缴费,可用完赛证书,宁海马拉松,
官网/微信/小程序,臺南市政府 / 社團法人臺南市體育總會 / 臺灣港務股份有限公司,2025-09-15 14:30,已结束,CT / AIMS,未提及,,10500/9500/5100,,,❌,有,(886)02-29499257,臺南古都國際半程馬拉松,,https://www.tainanhalfmarathon.com/,25100,NT$1000/850/500,台湾,,2025-11-02 23:59,,,半程 / 10km / 短距离,2026-03-01 00:00,报名时缴费,未提及,,
官网/微信/小程序 / 数字心动 / 润赛美佳 / 跑跑网 / 最酷 / 我要赛,重庆市铜梁区人民政府,2025-12-25 10:00,已结束,A,未提及,,2000/4000,铜梁龙城天街,,❌,2月14日前可退出,17316784625,重庆铜梁马拉松,,,6000,150/120,重庆,,2026-01-04 22:00,重庆云动风行体育文化传播有限公司,yundongtiyu@yundongsport.cn,全程 / 半程,2026-03-15 20:00,报名时缴费,自行评估,重庆铜梁龙马拉松,
官网/微信/小程序 / 数字心动,上海市嘉定区人民政府 / 上海久事体育产业发展（集团）有限公司 / 上海报业集团,2025-11-28 10:00,已结束,A,未提及,,7000,上海国际赛车场,https://docimg5.docs.qq.com/image/AgAACG-qqCHe358BsJpE86U3A5D3IfkT.jpeg?w=2480&h=3725,❌,无,,上海嘉定半程马拉松暨蒸蒸日上迎新跑,,https://www.runthetrack.com,7000,269,上海,,2025-12-07 23:59,,info@runthetrack.com,半程,2026-01-01 00:00,报名时缴费,未提及,蒸蒸日上,
官网/微信/小程序 / 数字心动 / 跑跑网,温州市体育局 / 温州市龙湾区人民政府,2025-12-20 10:00,已结束,A,未提及,2026-01-09 00:00,8000,,,✔️,,0577-88868108,温州龙湾半程马拉松,,https://longwan.zjim.org,8000,150,浙江,,2025-12-31 17:00,浙江青鸟捷出体育科技有限公司,longwanmls@163.com,半程,2026-03-15 09:16,中签后缴费,必须,温州龙湾半程马拉松,
官网/微信/小程序 / 運動筆記,台灣國際馬拉松交流協會 / 亞洲馬拉松大聯盟,2025-08-20 10:00,已结束,AIMS,未提及,,,,,❌,有,(886)0910-581659,臺灣國際馬拉松(in臺南),,https://irunner.biji.co/twnmarathon2025,,NT$1300/1100/800/600,台湾,,2025-11-22 23:59,,irunner@biji.co,全程 / 半程 / 10km / 短距离,2026-01-11 15:40,报名时缴费,未提及,,
官网/微信/小程序,香港馬拉松推廣社,2026-01-26 11:00,已结束,HK / WA,未提及,,,石门,,❌,,(852)52290518,石門十公里賽 ,,https://hkmarathonpro.com/,,HK$350,香港,,2026-02-06 23:59,,hkmarathonpro@yahoo.com.hk,10km,2026-03-22 00:00,报名时缴费,未提及,,
